revenue_usd_millions,pitchbook_valuation_usd_millions,pitchbook_primary_industry_group,pitchbook_primary_industry_sector,pitchbook_verticals,pitchbook_hq_location,pitchbook_hq_country,pitchbook_last_financing_date,pitchbook_last_financing_size_usd_millions,pitchbook_last_financing_deal_type,employee_count_pitchbook,employee_count_linkedin_scraped,employee_count_crunchbase_range,company_size_category,crunchbase_revenue_range,crunchbase_industry_tags,crunchbase_industry_category,total_funding_usd,num_funding_rounds,avg_round_size_usd,total_investors,latest_funding_type,latest_funding_date,months_since_last_funding,funding_stage_encoded,country,state_region,city,founded_year,company_age_years,is_public,ipo_date,ipo_exchange,ipo_ticker,revenue_tier,is_pe_backed,num_pe_investors,ml_predicted_revenue,ml_prediction_confidence
66.61,375.71,Other Business Products and Services,Business Products and Services (B2B),Industrials,"Englewood, CO",United States,2000-12-04,263.0,Merger/Acquisition,285.0,50.0,c_00011_00050,,r_00001000,"Manufacturing, Chemical Engineering, Chemical, Science and Engineering","Science and Engineering, Chemical, Chemical Engineering, Manufacturing",0,0,0,0,,,,,United States,Namur,Mariembourg,,,False,,,,,True,1,15576923.0,0.6
20.13,192.93,Software,Information Technology,SaaS,"Sao Paulo, Brazil",Brazil,2024-09-01,,Secondary Transaction - Private,500.0,522.0,c_00251_00500,,r_00050000,,,126538312,5,42179437,4,private_equity,2023-10-20,25.0,6.0,Brazil,Sao Paulo,São Paulo,,,False,,,,,True,2,90239966.0,0.9
23.7,,Software,Information Technology,"Cybersecurity, TMT, SaaS","Austin, TX",United States,2021-06-08,110.0,PE Growth/Expansion,95.0,101.0,c_00051_00100,,r_00010000,,,110000000,1,110000000,1,private_equity,2021-06-08,53.0,6.0,United States,Texas,Austin,,,False,,,,,True,1,50350196.0,0.9
1250.0,76.0,Retail,Consumer Products and Services (B2C),AI/Machine Learning,"San Francisco, CA",United States,2019-04-04,76.0,Merger/Acquisition,10100.0,,,,r_10000000,"Retail, E-Commerce, Children, Apparel, Clothing and Apparel, Commerce and Shopping, Community and Lifestyle","Automotive, Retail, Sales",0,0,0,0,,,,,United States,,,1997.0,28.0,True,,nyse,,,True,3,,
12.1,71.75,Commercial Services,Business Products and Services (B2B),"Marketing Tech, AdTech, Mobile","Pittsburgh, PA",United States,,,Secondary Transaction - Private,145.0,145.0,c_00101_00250,,r_00010000,,,17000000,2,8500000,4,series_b,2013-09-19,146.0,3.0,United States,Pennsylvania,Pittsburgh,,,False,,,,,True,1,33076048.0,0.85
750.0,,Other Business Products and Services,Business Products and Services (B2B),SaaS,"Manhattan, KS",United States,2025-05-13,71.95,Debt Refinancing,930.0,918.0,c_00501_01000,,r_00050000,,,350000,1,350000,1,grant,2023-06-20,29.0,0.0,United States,Kansas,Manhattan,,,False,,,,,True,2,58756394.0,0.8
533.2,4500.0,Software,Information Technology,"Big Data, SaaS, CloudTech & DevOps","Austin, TX",United States,2025-02-11,626.6,Dividend Recapitalization,1629.0,,c_01001_05000,,r_00100000,,,1502000000,4,500666666,5,private_equity,2024-11-26,12.0,6.0,United States,Texas,Austin,,,False,,,,,True,1,48418915.0,0.55
474.76,3901.71,Software,Information Technology,"Internet of Things, Cybersecurity, CloudTech & DevOps, SaaS","Sunnyvale, CA",United States,,,PIPE,1600.0,2136.0,c_01001_05000,,r_00100000,,,226500000,6,45300000,12,post_ipo_equity,2020-09-16,62.0,7.0,United States,California,Sunnyvale,,,True,,nasdaq,,,True,2,402519739.0,0.95
25.36,242.28,Commercial Services,Business Products and Services (B2B),Marketing Tech,"Mainz, Germany",Germany,2024-11-14,,Buyout/LBO,700.0,,,,r_00050000,,"Advertising, Consulting, Content Marketing, Digital Marketing",0,0,0,0,,,,,Germany,,,1999.0,26.0,False,,,,,True,1,,
1000.0,,Commercial Services,Business Products and Services (B2B),Manufacturing,"Foxborough, MA",United States,2024-10-16,855.0,Debt Refinancing,6000.0,,,,r_00100000,,"Cosmetic Surgery, Health Care, Manufacturing, Medical",0,0,0,0,,,,,United States,,,2007.0,18.0,False,,,,,True,1,,
424.0,3125.0,Commercial Services,Business Products and Services (B2B),,"Charlotte, NC",United States,2024-10-23,500.0,Debt Refinancing,429.0,,,,r_00100000,,"Leasing, Transportation",0,0,0,0,,,,,United States,,,2009.0,16.0,False,,,,,True,2,,
29.0,200.0,Software,Information Technology,SaaS,"New York, NY",United States,2022-07-21,35.0,PE Growth/Expansion,193.0,200.0,c_00101_00250,,,,,194500000,8,27785714,17,series_e,2020-12-02,59.0,5.0,United States,New York,New York,,,False,,,,,True,2,46815199.0,0.9
72.12,631.85,Software,Information Technology,"FinTech, SaaS","London, United Kingdom",United Kingdom,2024-12-31,631.85,Buyout/LBO,497.0,10.0,c_00251_00500,,r_00050000,,,138000000,7,34500000,6,debt_financing,2020-01-03,70.0,1.0,United Kingdom,England,London,,,False,,,,,True,1,16946620.0,0.8
22.2,33.0,Commercial Services,Business Products and Services (B2B),"SaaS, Marketing Tech, AdTech","Los Angeles, CA",United States,2020-03-03,13.0,Later Stage VC,45.0,,c_00051_00100,,r_00010000,,,36246010,5,7249202,2,series_d,2020-03-03,68.0,5.0,United States,California,Santa Monica,,,False,,,,,True,1,42722572.0,0.55
740.0,,Energy Equipment,Energy,Manufacturing,"Tulsa, OK",United States,2025-06-03,,PE Growth/Expansion,1860.0,,,,r_00500000,,Oil and Gas,0,0,0,0,,,,,United States,,,1920.0,105.0,False,,,,,True,1,,
202.65,669.0,Capital Markets/Institutions,Financial Services,,"Denver, CO",United States,2017-12-01,669.0,Merger/Acquisition,234.0,,,,,,"Commercial, Financial Services",0,0,0,0,,,,,United States,,,1994.0,31.0,False,,,,,True,1,,
350.0,630.0,Communications and Networking,Information Technology,"TMT, Manufacturing","Knoxville, TN",United States,2014-09-19,630.0,Merger/Acquisition,1900.0,,,,r_00100000,,Manufacturing,0,0,0,0,,,,,United States,,,1971.0,54.0,False,,,,,True,1,,
15.95,134.19,Media,Consumer Products and Services (B2C),"Mobile, LOHAS & Wellness, Pet Technology","Stockholm, Sweden",Sweden,2024-05-17,26.84,Later Stage VC,185.0,,,,r_00010000,,"Medical, Mobile Apps, Pet, Veterinary",0,0,0,0,,,,,Sweden,,,2016.0,9.0,False,,,,,True,1,,
358.51,1853.42,Commercial Services,Business Products and Services (B2B),"Marketing Tech, TMT, AdTech","Reston, VA",United States,2025-01-07,60.0,General Corporate Purpose,1200.0,,,,r_00100000,,"Advertising, Analytics, Consumer, SaaS, Social Media Marketing",0,0,0,0,,,,,United States,,,1999.0,26.0,True,,nasdaq,,,True,2,,
237.2,21052.63,IT Services,Information Technology,"Artificial Intelligence & Machine Learning, Big Data, TMT","Amsterdam, Netherlands",Netherlands,2025-09-15,1000.0,Public Investment 2nd Offering,1371.0,,,,r_00100000,,"Artificial Intelligence (AI), Cloud Data Services, GPU, Information Technology",0,0,0,0,,,,,Netherlands,,,1989.0,36.0,True,,bmv,,,True,1,,
500.0,3700.0,Software,Information Technology,"TMT, SaaS, Cybersecurity","San Mateo, CA",United States,2023-12-04,3700.0,Merger/Acquisition,1400.0,,,,r_00100000,,"Cloud Security, Cyber Security, Network Security, Software",0,0,0,0,,,,,United States,,,2002.0,23.0,True,,nyse,,,True,5,,
114.15,2029.42,Healthcare Devices and Supplies,Healthcare,Manufacturing,"Tuusula, Finland",Finland,2023-01-17,2029.42,Merger/Acquisition,384.0,,,,r_00000000,,"Consumer Goods, Health Care, Manufacturing, Medical Device",0,0,0,0,,,,,Finland,,,1891.0,134.0,False,,,,,True,1,,
10.0,9.77,Software,Information Technology,SaaS,"Doylestown, PA",United States,2022-07-22,9.77,Merger/Acquisition,58.0,,,,r_00001000,,"Internet, PaaS, SaaS, Telecommunications, Unified Communications",0,0,0,0,,,,,United States,,,2004.0,21.0,False,,,,,True,1,,
419.13,650.9,Software,Information Technology,HR Tech,"Tel Aviv, Israel",Israel,2020-05-29,120.0,Public Investment 2nd Offering,762.0,,,,r_01000000,,"Finance, Financial Exchanges, Financial Services",0,0,0,0,,,,,Israel,,,1945.0,80.0,False,,,,,True,2,,
100.0,62.5,Retail,Consumer Products and Services (B2C),E-Commerce,"Tustin, CA",United States,2021-05-05,,Merger/Acquisition,300.0,,,,r_00100000,,"Crowdsourcing, E-Commerce, Fashion, Retail",0,0,0,0,,,,,United States,,,,,False,,,,,True,1,,
8.28,427.06,Software,Information Technology,"FinTech, B2B Payments","London, United Kingdom",United Kingdom,2023-11-07,,Early Stage VC,188.0,,,,r_00001000,,"Analytics, Artificial Intelligence (AI), Big Data, Data Visualization, Machine Learning",0,0,0,0,,,,,United Kingdom,,,2015.0,10.0,False,,,,,True,2,,
18.32,15.22,Commercial Services,Business Products and Services (B2B),SaaS,"Portsmouth, NH",United States,2021-10-01,,Secondary Transaction - Private,50.0,,,,r_00001000,,"Family, Health Care, mHealth, Women's",0,0,0,0,,,,,United States,,,2014.0,11.0,False,,,,,True,1,,
325.1,6750.0,Healthcare Services,Healthcare,HealthTech,"South Bend, IN",United States,2025-10-06,6750.0,Buyout/LBO,3000.0,,,,r_00500000,,"Consulting, Health Care",0,0,0,0,,,,,United States,,,1985.0,40.0,False,,,,,True,3,,
65.2,2.56,Commercial Services,Business Products and Services (B2B),"SaaS, Marketing Tech, TMT, AdTech","Santa Clara, CA",United States,2020-04-28,0.31,Debt - PPP,195.0,,,,r_00050000,,"Advertising, SEO, Social Media Management, Social Media Marketing",0,0,0,0,,,,,United States,,,2005.0,20.0,False,,,,,True,1,,
3.48,50.0,Media,Consumer Products and Services (B2C),Mobile,"London, United Kingdom",United Kingdom,2022-05-01,,Later Stage VC,16.0,,,,r_00010000,,"Apps, Digital Entertainment, Family, Online Games",0,0,0,0,,,,,United Kingdom,,,,,False,,,,,True,2,,
10.0,350.0,Software,Information Technology,"Advanced Manufacturing, SaaS, TMT","Oakland, CA",United States,2025-06-17,350.0,Merger/Acquisition,400.0,387.0,c_00251_00500,,r_00010000,,"Science and Engineering, 3D Printing, Hardware, Manufacturing, Mechanical Engineering",192600000,5,38520000,19,series_e,2022-05-05,42.0,5.0,United States,California,San Francisco,,,False,,,,,True,1,60313453.0,0.9
134.95,528.8,Software,Information Technology,"Cybersecurity, TMT","Rockville, MD",United States,2000-12-18,528.8,Merger/Acquisition,611.0,,,,r_00001000,,"Electronics, Lighting, Manufacturing, Product Design",0,0,0,0,,,,,United States,,,2001.0,24.0,False,,,,,True,2,,
260.29,775.0,Software,Information Technology,"TMT, SaaS","San Jose, CA",United States,2009-03-17,775.0,Merger/Acquisition,1012.0,,,,,,"Content, Enterprise Software, Software",0,0,0,0,,,,,United States,,,1995.0,30.0,True,,nasdaq,,,True,1,,
177.5,,Communications and Networking,Information Technology,TMT,"Fairfax, VA",United States,1996-08-12,,Merger/Acquisition,306.0,,,,,,"Information Technology, Internet",0,0,0,0,,,,,United States,,,,,False,,,,,True,3,,
93.69,223.69,Software,Information Technology,TMT,"Cupertino, CA",United States,2006-07-03,223.69,Merger/Acquisition,569.0,,,,,,"Enterprise Software, Information Technology, Software",0,0,0,0,,,,,United States,,,1985.0,40.0,False,,,,,True,1,,
25.0,400.0,Software,Information Technology,"TMT, Supply Chain Tech","Alexandria, VA",United States,2022-06-22,,Merger/Acquisition,48.0,,,,r_00050000,,"Analytics, Big Data, Internet of Things, Risk Management, Sensor",0,0,0,0,,,,,United States,,,1989.0,36.0,False,,,,,True,2,,
1.1,21.3,Media,Consumer Products and Services (B2C),"Mobile, Mobile Commerce, TMT, E-Commerce","New York, NY",United States,2015-10-30,21.3,Merger/Acquisition,36.0,,,,r_00001000,,"Coupons, E-Commerce, Marketing",0,0,0,0,,,,,United States,,,2010.0,15.0,False,,,,,True,1,,
194.33,1600.0,Software,Information Technology,"TMT, Marketing Tech, SaaS","San Bruno, CA",United States,2013-12-20,1600.0,Merger/Acquisition,1001.0,,,,r_00100000,,"Marketing, Mobile Apps, Software",0,0,0,0,,,,,United States,,,1998.0,27.0,True,,nasdaq,,,True,1,,
43.7,340.0,Software,Information Technology,SaaS,"Sunnyvale, CA",United States,2024-04-01,9.49,Debt - General,494.0,,,,r_00100000,,"Enterprise Applications, Software",0,0,0,0,,,,,United States,,,2002.0,23.0,False,,,,,True,1,,
11.99,,Commercial Services,Business Products and Services (B2B),TMT,"London, United Kingdom",United Kingdom,2021-06-29,,Merger/Acquisition,89.0,,,,r_00010000,,"Messaging, Telecommunications, Video, VoIP",0,0,0,0,,,,,United Kingdom,,,2005.0,20.0,False,,,,,True,1,,
95.23,0.57,Retail,Consumer Products and Services (B2C),"TMT, E-Commerce","London, United Kingdom",United Kingdom,2011-09-05,0.57,Merger/Acquisition,100.0,,,,,,"Automotive, E-Commerce, Insurance, Internet, Retail",0,0,0,0,,,,,United Kingdom,,,2005.0,20.0,False,,,,,True,1,,
1.5,71.0,Software,Information Technology,"TMT, SaaS","Santa Clara, CA",United States,2018-01-18,,Merger/Acquisition,72.0,,,,r_00010000,,"Analytics, Database, Software",0,0,0,0,,,,,United States,,,,,False,,,,,True,1,,
150.0,1450.0,Apparel and Accessories,Consumer Products and Services (B2C),E-Commerce,"New York, NY",United States,2020-06-23,35.0,Later Stage VC,250.0,550.0,c_00251_00500,,r_00001000,"Travel, Retail, Lifestyle, E-Commerce, Consumer Goods, Consumer, Commerce and Shopping, Community and Lifestyle, Travel and Tourism","Travel and Tourism, Other, Community and Lifestyle, Commerce and Shopping, Consumer, Consumer Goods, E-Commerce, Lifestyle, Retail, Travel",181000000,6,36200000,21,series_d,2019-05-14,78.0,5.0,United States,New York,New York,,,False,,,,,True,1,81217407.0,0.9
114.09,,Services (Non-Financial),Consumer Products and Services (B2C),Mobile,"Amsterdam, Netherlands",Netherlands,2023-06-26,,Later Stage VC,750.0,750.0,c_00501_01000,,r_00100000,"Online Auctions, Marketplace, Collectibles, Commerce and Shopping","Commerce and Shopping, Collectibles, Marketplace, Online Auctions",22595456,5,7531818,12,private_equity,2020-12-07,59.0,6.0,Netherlands,Noord-Holland,Amsterdam,,,False,,,,,True,1,132768975.0,0.9
159.86,186.0,Commercial Services,Business Products and Services (B2B),"AdTech, SaaS, TMT, Mobile","Redwood City, CA",United States,2018-02-02,186.0,Merger/Acquisition,505.0,,,,r_00100000,,"Advertising, Marketing, Mobile, Video",0,0,0,0,,,,,United States,,,2004.0,21.0,True,,nyse,,,True,3,,
53.99,279.13,Semiconductors,Information Technology,"TMT, Manufacturing","Wuxi, China",China,2019-12-26,279.13,Merger/Acquisition,219.0,,,,,,"Electronics, Manufacturing, Semiconductor",0,0,0,0,,,,,China,,,1998.0,27.0,True,,nasdaq,,,True,1,,
30.0,325.0,Software,Information Technology,"Big Data, TMT, Artificial Intelligence & Machine Learning, SaaS","Palo Alto, CA",United States,2023-03-01,,Secondary Transaction - Private,71.0,,,,r_00010000,,"Communities, Enterprise Software, Event Management, Events, SaaS",0,0,0,0,,,,,United States,,,,,False,,,,,True,1,,
185.73,,Apparel and Accessories,Consumer Products and Services (B2C),"SaaS, E-Commerce, Industrials","Leipzig, Germany",Germany,,,Secondary Transaction - Private,665.0,,,,,,"E-Commerce, E-Commerce Platforms, Marketplace, Point of Sale",0,0,0,0,,,,,Germany,,,,,False,,,,,True,2,,
21.5,1150.0,Software,Information Technology,"TMT, SaaS, Artificial Intelligence & Machine Learning","Chicago, IL",United States,2021-06-22,157.0,Later Stage VC,1059.0,,,,r_00050000,,"B2B, Business Intelligence, Consumer Reviews, Enterprise Software, Marketing Automation",0,0,0,0,,,,,United States,,,2012.0,13.0,False,,,,,True,1,,
15.2,225.0,Retail,Consumer Products and Services (B2C),"E-Commerce, TMT, SaaS","Durham, NC",United States,2021-08-10,225.0,Buyout/LBO,350.0,,,,r_00010000,,"Art, E-Commerce, Handmade, Internet",0,0,0,0,,,,,United States,,,2008.0,17.0,False,,,,,True,1,,
10.72,30.12,Software,Information Technology,"HR Tech, SaaS","Mumbai, India",India,2024-01-01,,Secondary Transaction - Private,625.0,,,,r_00010000,,"Human Resources, Information Technology, Software",0,0,0,0,,,,,India,,,,,False,,,,,True,1,,
372.91,7541.6,"Restaurants, Hotels and Leisure",Consumer Products and Services (B2C),"Mobile, Restaurant Technology, FoodTech","New York, NY",United States,2025-09-17,1141.6,Later Stage VC,1100.0,,,,r_00001000,"Restaurants, Food Delivery, Food and Beverage, E-Commerce, Commerce and Shopping, Transportation","Art, Graphic Design, Interior Design",0,0,0,0,,,,,United States,,,2017.0,8.0,False,,,,,True,3,,
608.68,524.38,Software,Information Technology,"TMT, SaaS, Cybersecurity","New York, NY",United States,2021-02-11,450.0,Public Investment 2nd Offering,2406.0,,,,r_00500000,,"Analytics, Big Data, Data Governance, Data Management, Government",0,0,0,0,,,,,United States,,,2005.0,20.0,True,,nasdaq,,,True,1,,
103.99,501.62,Software,Information Technology,"FinTech, SaaS, Big Data","Raleigh, NC",United States,2025-09-02,,Buyout/LBO,1082.0,,,,r_00100000,,"Banking, Financial Services, FinTech, Mobile, Software",0,0,0,0,,,,,United States,,,1999.0,26.0,True,,nasdaq,,,True,4,,
122.24,1191.5,Other Financial Services,Financial Services,"Mobile, TMT, FinTech, SaaS","Bangalore, India",India,2025-05-13,39.97,IPO,100.0,,,,r_00000000,,"Finance, Financial Services, FinTech, Lending, Personal Finance",0,0,0,0,,,,,India,,,2014.0,11.0,False,,,,,True,1,,
534.14,3000.0,Commercial Services,Business Products and Services (B2B),,"Singapore, Singapore",Singapore,2025-09-11,150.0,Debt Refinancing,2000.0,,,,r_00100000,,"Continuing Education, EdTech, Education, Skill Assessment",0,0,0,0,,,,,Singapore,,,2010.0,15.0,False,,,,,True,2,,
301.69,1900.0,"Restaurants, Hotels and Leisure",Consumer Products and Services (B2C),,"Stamford, CT",United States,2013-05-21,1900.0,Merger/Acquisition,1000.0,,,,,,Software,0,0,0,0,,,,,United States,,,,,False,,,,,True,3,,
125.0,651.0,IT Services,Information Technology,"SaaS, TMT","Westborough, MA",United States,2017-02-17,651.0,Merger/Acquisition,750.0,500.0,c_00101_00250,,r_00010000,"Information Technology, Computer, Big Data, Consumer Electronics, Data and Analytics, Hardware","Hardware, Data and Analytics, Consumer Electronics, Big Data, Computer, Information Technology",276500000,5,55300000,8,series_d,2015-03-19,128.0,5.0,United States,Massachusetts,Westborough,,,False,,,,,True,2,79686143.0,0.9
6.6,10.6,Communications and Networking,Information Technology,"Manufacturing, TMT","Romford, United Kingdom",United Kingdom,2017-02-15,10.6,Buyout/LBO,114.0,,,,r_00050000,,"Data Center, Optical Communication, Telecommunications",0,0,0,0,,,,,United Kingdom,,,1998.0,27.0,True,,nasdaq,,,True,2,,
1120.3,9300.0,Software,Information Technology,"Artificial Intelligence & Machine Learning, Cybersecurity, Big Data, Mobile, TMT","Beijing, China",China,2018-02-28,7974.06,Reverse Merger,5975.0,,,,r_00500000,,"Internet, Mobile, Security, Software",0,0,0,0,,,,,China,,,2005.0,20.0,True,,nyse,,,True,2,,
25.9,211.8,Software,Information Technology,"AdTech, Marketing Tech","Redwood City, CA",United States,2022-09-12,211.8,Merger/Acquisition,900.0,,,,r_00100000,,"Ad Network, Advertising, Advertising Platforms, Big Data, Digital Marketing",0,0,0,0,,,,,United States,,,2005.0,20.0,False,,,,,True,2,,
10.0,97.11,Commercial Services,Business Products and Services (B2B),"Big Data, SaaS, TMT","Bengaluru, India",India,2023-01-10,37.44,IPO,644.0,,,,r_00001000,,"Analytics, Big Data, Enterprise Software, Information Technology, Software",0,0,0,0,,,,,India,,,2013.0,12.0,False,,,,,True,2,,
665.31,3000.0,Software,Information Technology,"Big Data, SaaS, TMT","King of Prussia, PA",United States,2025-05-08,,PE Growth/Expansion,4421.0,,,,,,"Information Technology, Software",0,0,0,0,,,,,United States,,,2006.0,19.0,False,,,,,True,2,,
1200.0,527.0,"Restaurants, Hotels and Leisure",Consumer Products and Services (B2C),,"San Diego, CA",United States,,,PE Growth/Expansion,4075.0,,,,r_00100000,,Restaurants,0,0,0,0,,,,,United States,,,1995.0,30.0,False,,,,,True,1,,
23.8,140.0,Commercial Services,Business Products and Services (B2B),"FinTech, E-Commerce","San Francisco, CA",United States,2024-02-29,2.14,Later Stage VC,111.0,,,,r_00001000,,"Content, Creative Agency, E-Commerce",0,0,0,0,,,,,United States,,,2012.0,13.0,False,,,,,True,2,,
10.31,148.84,Software,Information Technology,"Artificial Intelligence & Machine Learning, SaaS, Big Data","Pune, India",India,2024-10-10,44.0,Later Stage VC,184.0,217.0,c_00101_00250,,r_00001000,,"Science and Engineering, Natural Resources, Manufacturing, Internet Services, Industrial Automation, Internet of Things, Water",70944089,6,14188817,9,debt_financing,2024-12-11,11.0,1.0,India,Maharashtra,Pune,,,False,,,,,True,1,22563375.0,0.8
45.65,350.0,IT Services,Information Technology,"Artificial Intelligence & Machine Learning, TMT, Big Data, Cybersecurity","Cambridge, MA",United States,2009-10-26,350.0,Merger/Acquisition,700.0,,,,,,"Business Development, Market Research",0,0,0,0,,,,,United States,,,1948.0,77.0,False,,,,,True,2,,
10.0,28.0,Software,Information Technology,SaaS,"Roseville, CA",United States,2024-01-12,,Buyout/LBO,97.0,54.0,c_00051_00100,,r_00010000,,"Sales and Marketing, Other, Messaging and Telecommunications, Media and Entertainment, Information Technology, Data and Analytics, Analytics, B2B, Direct Sales, Enterprise Software, Event Management, Events, Meeting Software, SaaS, Sales Automation, Software",26947725,4,6736931,4,series_unknown,2021-05-04,54.0,1.0,United States,California,San Jose,,,False,,,,,True,4,18173076.0,0.8
692.8,2600.0,Commercial Products,Business Products and Services (B2B),"Mobile, TMT, E-Commerce","Singapore, Singapore",Singapore,,,Secondary Transaction - Private,1247.0,1255.0,c_01001_05000,,r_00500000,"Mobile, Marketplace, Industrial, E-Commerce, B2B, Commerce and Shopping, Manufacturing","Other, Manufacturing, Commerce and Shopping, B2B, E-Commerce, Industrial, Marketplace, Mobile",472208452,8,78701408,18,series_f,2022-01-28,46.0,5.0,Singapore,Central Region,Singapore,,,False,,,,,True,2,185500945.0,0.9
4.36,35.95,Computer Hardware,Information Technology,"Internet of Things, Artificial Intelligence & Machine Learning, SaaS","Chennai, India",India,,,Secondary Transaction - Private,478.0,,,,r_00050000,,"Artificial Intelligence (AI), Industrial Automation, Machine Learning, SaaS",0,0,0,0,,,,,India,,,,,False,,,,,True,1,,
700.0,4600.0,Software,Information Technology,"HR Tech, Artificial Intelligence & Machine Learning, Big Data, SaaS","San Francisco, CA",United States,2025-05-16,61.1,Later Stage VC,1550.0,1575.0,c_01001_05000,,r_00500000,"Machine Learning, Legal Tech, Human Resources, Developer APIs, Artificial Intelligence (AI), Administrative Services, Data and Analytics, Professional Services, Science and Engineering, Software","Software, Science and Engineering, Professional Services, Data and Analytics, Administrative Services, Artificial Intelligence (AI), Developer APIs, Human Resources, Legal Tech, Machine Learning",740096125,9,105728017,30,undisclosed,2025-05-16,6.0,1.0,United States,California,San Francisco,,,False,,,,,True,3,118196620.0,0.8
10.4,300.0,Software,Information Technology,"TMT, Artificial Intelligence & Machine Learning, SaaS","San Francisco, CA",United States,2023-11-24,50.0,Later Stage VC,109.0,96.0,c_00101_00250,,r_00010000,,,113120000,6,22624000,10,series_c,2023-12-03,23.0,4.0,United States,California,San Francisco,,,False,,,,,True,2,34450134.0,0.9
67.5,414.0,Software,Information Technology,"TMT, SaaS","Pleasanton, CA",United States,2023-04-01,414.0,Merger/Acquisition,400.0,,,,r_00100000,,"Information Technology, Productivity Tools, Supply Chain Management",0,0,0,0,,,,,United States,,,1993.0,32.0,False,,,,,True,2,,
8.4,1250.0,Software,Information Technology,"SaaS, CloudTech & DevOps","San Francisco, CA",United States,2025-06-10,82.0,Later Stage VC,148.0,,,,r_00010000,,"Developer Platform, Developer Tools, Information Technology, Software",0,0,0,0,,,,,United States,,,2019.0,6.0,False,,,,,True,3,,
11.82,102.13,Media,Consumer Products and Services (B2C),"Mobile, HR Tech","Luxembourg, Luxembourg",Luxembourg,2020-01-01,,Accelerator/Incubator,95.0,,,,r_00010000,,"Apps, Employment, Mobile",0,0,0,0,,,,,Luxembourg,,,,,False,,,,,True,1,,
8.4,,Software,Information Technology,Cybersecurity,"Ellicott City, MD",United States,2023-05-25,190.0,Later Stage VC,194.0,11.0,c_00001_00010,,r_00001000,"Web Design, Information Technology, Cloud Security, Design, Privacy and Security","Privacy and Security, Design, Cloud Security, Information Technology, Web Design",0,0,0,0,,,,,United States,Hessen,Bad Vilbel,,,False,,,,,True,2,14525674.0,0.6
45.0,300.0,Software,Information Technology,"Big Data, SaaS, Cybersecurity","Minneapolis, MN",United States,2024-07-23,,Buyout/LBO,206.0,,,,,,"Health Care, Hospital, Software",0,0,0,0,,,,,United States,,,,,False,,,,,True,2,,
12.11,212.37,Other Financial Services,Financial Services,"FinTech, Mobile","Bangalore, India",India,,,Secondary Transaction - Private,1519.0,1538.0,c_01001_05000,,r_00001000,"Lending, FinTech, Finance, Credit, Financial Services, Lending and Investments","Lending and Investments, Financial Services, Credit, Finance, FinTech, Lending",209818196,10,23313132,22,series_unknown,2024-05-03,18.0,1.0,India,Karnataka,Bangalore,,,False,,,,,True,3,117716279.0,0.8
18.7,266.0,Communications and Networking,Information Technology,"TMT, SaaS","Sunnyvale, CA",United States,2015-02-12,,Buyout/LBO,170.0,,,,,,"Logistics, Video, Video Streaming",0,0,0,0,,,,,United States,,,,,False,,,,,True,2,,
361.88,2179.0,Software,Information Technology,"TMT, Mobile","Gaithersburg, MD",United States,2018-02-02,2179.0,Merger/Acquisition,2000.0,418.0,c_00501_01000,,r_00100000,"VoIP, Telecommunications, Software, Enterprise, Hardware, Information Technology, Internet Services, Messaging and Telecommunications","Other, Messaging and Telecommunications, Internet Services, Information Technology, Hardware, Enterprise, Software, Telecommunications, VoIP",77500000,6,12916666,11,series_unknown,2009-11-02,192.0,1.0,United States,Maryland,Gaithersburg,,,True,,nasdaq,,,True,3,94626778.0,0.95
106.01,163.7,Other Financial Services,Financial Services,"TMT, FinTech","West Chester, OH",United States,2017-02-28,163.7,Merger/Acquisition,89.0,,,,r_00010000,,"Financial Services, Prepaid Cards",0,0,0,0,,,,,United States,,,2003.0,22.0,False,,,,,True,2,,
9.83,,Software,Information Technology,"SaaS, Marketing Tech","New York, NY",United States,2023-01-17,25.0,Later Stage VC,132.0,,c_00101_00250,,r_00001000,"SaaS, QR Codes, Mobile, Marketing, Sales and Marketing, Software","Software, Sales and Marketing, Marketing, Mobile, QR Codes, SaaS",25000000,2,25000000,4,series_a,2023-01-17,34.0,2.0,United States,New York,New York,,,False,,,,,True,1,25633543.0,0.5
18.67,26.25,Communications and Networking,Information Technology,TMT,"Histon, United Kingdom",United Kingdom,2022-10-03,,Merger/Acquisition,66.0,,,,r_00010000,,"Information Technology, Telecommunications, Web Hosting, Wireless",0,0,0,0,,,,,United Kingdom,,,,,False,,,,,True,1,,
1.8,112.0,Software,Information Technology,"Artificial Intelligence & Machine Learning, SaaS, Mobile","San Francisco, CA",United States,2024-02-08,12.0,Early Stage VC,42.0,,,,r_00500000,,"Service Industry, Telecommunications",0,0,0,0,,,,,United States,,,2001.0,24.0,True,,lse,,,True,1,,
46.8,13.47,Commercial Services,Business Products and Services (B2B),HR Tech,"Austin, TX",United States,2024-11-15,,Merger/Acquisition,59.0,,,,r_00010000,,"Human Resources, Recruiting, Software",0,0,0,0,,,,,United States,,,,,False,,,,,True,2,,
19.45,179.0,Software,Information Technology,FinTech,"London, United Kingdom",United Kingdom,2022-02-01,21.0,Later Stage VC,97.0,65.0,c_00011_00050,,r_00001000,,"Data and Analytics, Analytics, Financial Services, FinTech, Software",71200000,10,7120000,10,series_f,2022-02-01,45.0,5.0,United Kingdom,England,London,,,False,,,,,True,1,39253024.0,0.9
